	th1_ko1.cel	th1_ko2.cel	th1_ko3.cel	th1_wt1.cel	th1_wt2.cel	th1_wt3.cel
1431269_at	3.387159	3.514924	3.612708	3.498349	3.564237	3.684584
1431270_a_at	6.482706	6.691384	7.085635	6.640558	6.931996	7.016386
1431271_at	3.743125	3.677084	3.718913	3.723378	3.475678	3.765528
1431272_at	4.094149	4.175516	3.932461	3.993036	3.90639	3.720347
1431273_at	3.711473	3.585277	3.696727	3.732131	3.784756	3.719972
1431274_a_at	8.935736	8.681608	8.680117	8.98351	8.801071	8.742532
1431275_at	4.449811	4.756219	4.643785	4.21154	4.523136	4.306517
1431276_at	3.984542	4.306237	4.042271	4.038396	4.064953	3.810702
1431277_at	6.870308	6.862205	7.123717	6.799545	6.894549	6.946803
1431278_s_at	5.400786	5.176117	5.467778	5.40169	5.438303	5.371509
1431279_s_at	7.618491	7.72201	7.701446	7.649958	7.817312	7.683966
1431280_at	4.319002	4.036317	4.346596	4.349621	4.50549	4.572111
1431281_at	3.928935	4.041728	3.687202	3.805814	3.671702	4.150509
1431282_at	3.780016	3.917718	3.877211	3.771892	3.795248	3.824999
1431283_at	5.542352	5.326169	5.488501	5.547144	5.417435	5.607263
1431284_a_at	7.247513	7.108675	7.196439	7.256624	7.212422	7.170027
1431285_at	7.445771	7.255857	7.247093	7.40553	7.533843	7.439589
1431286_at	3.663819	3.921008	4.147204	3.567233	4.024466	3.651036
1431287_at	4.113485	4.131807	4.203234	4.284959	4.285875	4.235738
1431288_at	3.853518	3.860936	3.81875	3.875593	4.055948	3.942415
1431289_at	8.277806	7.829225	8.138048	8.203393	8.286753	8.219487
1431290_at	4.785486	4.669469	4.615075	4.853158	4.783079	4.599419
1431291_at	5.881518	5.934301	5.962311	5.865936	5.852386	5.852632
1431292_a_at	8.216988	7.922265	8.29269	8.218303	8.25629	8.209677
1431293_a_at	7.948843	8.003567	8.029797	8.930824	9.018637	8.905281
1431294_at	4.098483	4.08896	4.119208	4.166512	4.121134	4.210234
1431295_a_at	7.132862	6.960781	7.019802	7.161921	6.955077	7.048654
1431296_at	3.75139	3.66276	3.736811	4.009865	3.915601	4.00719
1431297_a_at	3.815822	3.668544	3.760551	3.956579	3.821966	3.795348
